dia,fecha,cota_Ralco_msnm_0-20%,cota_Pangue_msnm_0-20%,cota_Ralco_msnm_20-40%,cota_Pangue_msnm_20-40%,cota_Ralco_msnm_40-60%,cota_Pangue_msnm_40-60%,cota_Ralco_msnm_60-80%,cota_Pangue_msnm_60-80%,cota_Ralco_msnm_80-100%,cota_Pangue_msnm_80-100%
218,06-Aug,710.3,507.807,714.76,507.687,709.41,507.788,700.61,507.362,694.78,507.174
219,07-Aug,710.36,508.246,714.63,508.126,709.51,507.866,700.34,507.644,694.49,507.231
220,08-Aug,710.47,507.58,714.45,508.228,709.34,508.373,700.02,507.461,694.2,507.138
221,09-Aug,710.62,508.178,714.34,507.768,709.35,507.889,699.72,507.337,693.95,507.0
222,10-Aug,710.74,507.866,714.16,507.689,709.3,507.648,699.41,507.222,693.73,507.023
223,11-Aug,710.86,507.87,713.97,508.11,709.13,508.15,699.11,507.288,693.55,507.046
224,12-Aug,710.99,508.184,713.83,508.404,709.17,507.841,698.81,507.232,693.4,507.048
225,13-Aug,711.11,507.991,713.71,508.24,709.1,507.994,698.51,507.262,693.28,507.0
226,14-Aug,711.24,507.816,713.56,508.067,708.99,508.331,698.24,507.231,693.19,507.0
227,15-Aug,711.37,507.84,713.45,507.871,709.03,507.909,697.97,507.231,693.1,507.0
228,16-Aug,711.31,508.56,713.15,507.907,708.89,508.204,697.73,507.158,693.03,507.302
229,17-Aug,711.28,507.559,713.0,507.457,708.91,507.783,697.49,507.08,693.14,507.0
230,18-Aug,711.22,507.354,712.74,507.569,708.86,507.327,697.2,507.177,693.16,507.0
231,19-Aug,711.15,508.045,712.46,507.749,708.72,507.585,696.94,507.246,693.1,507.293
232,20-Aug,711.09,507.246,712.23,507.4,708.66,507.558,696.79,507.018,693.22,507.0
233,21-Aug,711.03,507.682,711.96,507.629,708.55,507.64,696.52,507.187,693.25,507.0
234,22-Aug,710.96,507.858,711.68,507.937,708.42,507.53,696.3,507.253,693.31,507.0
235,23-Aug,710.89,507.59,711.4,508.154,708.31,507.784,696.04,507.024,693.36,507.0
236,24-Aug,711.25,508.198,711.55,507.786,708.23,507.764,695.96,507.0,693.31,507.044
237,25-Aug,711.5,508.064,711.67,507.973,708.15,507.427,695.89,507.0,693.25,507.088
238,26-Aug,711.72,508.324,711.78,507.924,708.07,507.509,695.8,507.0,693.2,507.133
239,27-Aug,711.94,507.54,711.87,508.029,707.92,507.757,695.6,507.461,693.13,507.219
240,28-Aug,712.38,507.905,711.99,508.526,707.8,507.964,695.56,507.557,693.07,507.281
241,29-Aug,712.83,508.31,712.14,508.173,707.72,508.03,695.54,507.692,693.04,507.256
242,30-Aug,713.3,508.231,712.35,508.183,707.74,507.237,695.67,507.231,693.07,507.0
243,31-Aug,713.69,508.285,712.44,507.8,707.62,507.566,695.67,507.309,693.03,507.043
244,01-Sep,713.63,508.494,712.36,507.883,707.53,507.934,695.69,507.462,692.98,507.148
245,02-Sep,713.58,507.766,712.36,507.75,707.58,507.377,695.85,507.043,693.01,507.0
246,03-Sep,713.55,507.421,712.3,507.651,707.56,507.341,695.83,507.298,692.99,507.0
247,04-Sep,713.48,508.031,712.22,507.46,707.46,507.706,695.87,507.425,692.95,507.106
248,05-Sep,713.41,508.522,712.14,507.92,707.41,507.814,695.86,507.774,692.9,507.211
249,06-Sep,713.37,507.649,712.18,507.163,707.44,507.093,696.05,507.216,692.91,507.124
250,07-Sep,713.26,507.73,712.09,507.651,707.39,507.111,696.05,507.506,692.87,507.231
251,08-Sep,713.23,508.219,711.87,507.828,707.38,507.466,696.01,507.485,693.02,507.105
252,09-Sep,713.1,508.536,711.64,508.231,707.34,507.95,696.02,507.323,693.11,507.202
253,10-Sep,713.1,508.003,711.41,508.503,707.28,508.535,695.94,507.588,693.24,507.231
254,11-Sep,713.07,507.97,711.32,507.853,707.44,507.747,695.98,507.318,693.42,507.0
255,12-Sep,712.93,507.575,711.09,507.643,707.41,507.818,696.0,507.133,693.49,507.176
256,13-Sep,712.81,507.59,710.97,507.556,707.45,507.679,696.0,507.006,693.64,507.0
257,14-Sep,712.67,508.227,710.73,507.849,707.52,507.654,695.97,507.085,693.71,507.16
258,15-Sep,712.61,508.27,710.56,508.006,707.48,507.816,695.89,507.375,693.79,507.231
259,16-Sep,712.46,508.057,710.62,508.242,707.35,508.206,695.88,507.173,693.8,507.0
260,17-Sep,712.29,508.382,710.52,508.386,707.31,508.256,695.79,507.269,693.74,507.153
261,18-Sep,712.1,508.411,710.39,508.664,707.27,508.241,695.72,507.315,693.69,507.231
